股名,股數,買價,類別
AMZN,172,182.612,長期霸主
CCJ,48,102.2698,中期題材(股票)
CEG,33,359.38,中期題材(股票)
CRWD,12,451.8783,中期題材(股票)
GOOGL,63,286.1092,中期題材(股票)
IBIT,238,58.2582,長期霸主
MSFT,26,479.2038,長期霸主
NVDA,213,128.6955,長期霸主
ONDS,240,11.0012,短期投機(股票)
QQQ,51,497,長期穩健
TSLA,117,319.91,長期霸主
VOO,42,545.6857,長期穩健
cash,1,812.76,現金
AMZU,273,34.33127,短期投機(股票)
COIN,45,302.45667,中期題材(股票)
CRWD,10,401.05327,
ETN,8,380.7675,中期題材(股票)
GGLL,86,109.08302,短期投機(股票)
IBIT,30,40.435,
LASR,44,60.27955,短期投機(股票)
META,20,619.173,中期題材(股票)
MSFT,6,397.95333,
NET,20,170.47005,中期題材(股票)
NFLX,18,82.15,短期投機(股票)
NTAP,20,104.4,中期題材(股票)
PWR,10,534.321,中期題材(股票)
SOFI(270115C00010000),7,695,中期題材(選擇權)
SOFI(270617C00020000),2,1300,中期題材(選擇權)
SOFI(260618C00025000),2,830.025,中期題材(選擇權)
SOFI(261218C00015000),4,685.025,中期題材(選擇權)
cash,1,10946,
